Unidade de Conservação ,NGI,GR,Incêndio (ha),Queima prescrita (ha),Queima controlada (ha),Aceiro (ha),Fogo natural (ha),Indígenas isolados (ha) ,Total Prevenção (ha) ,Total Combate (ha) ,Área TOTAL (ha),Área UC (ha),% de AAF na UC
RESEX de Canavieiras,Núcleo de Gestão Integrada - ICMBio Ilhéus,GR 2 - NORDESTE,"261,68","0,00","0,00","0,00","0,00","0,00","0,00","261,68","261,68","100.687,38","0,26"
RESEX de Cassurubá,Núcleo de Gestão Integrada - ICMBio Abrolhos,GR 2 - NORDESTE,"275,64","0,00","0,00","0,00","0,00","0,00","0,00","275,64","275,64","100.575,45","0,27"
RESEX de Recanto das Araras de Terra Ronca,Núcleo de Gestão Integrada - ICMBio Mata Grande/Terra Ronca,GR 3 - CENTRO-OESTE,"499,94","0,00","0,00","0,00","0,00","0,00","0,00","499,94","499,94","12.349,24","4,05"
RESEX do Cazumbá-Iracema,Núcleo de Gestão Integrada - ICMBio Sena Madureira,GR 1 - NORTE,"26,18","0,00","0,00","0,00","0,00","0,00","0,00","26,18","26,18","756.926,56","0,00"
RESEX do Ciriaco,Núcleo de Gestão Integrada - ICMBio Imperatriz,GR 2 - NORDESTE,"21,31","0,00","0,00","0,00","0,00","0,00","0,00","21,31","21,31","8.106,58","0,26"
RESEX do Extremo Norte do Tocantins,Núcleo de Gestão Integrada - ICMBio Imperatriz,GR 2 - NORDESTE,"490,77","0,00","0,00","0,00","0,00","0,00","0,00","490,77","490,77","9.070,18","5,41"
RESEX do Lago do Cuniã,Núcleo de Gestão Integrada - ICMBio Cuniã-Jacundá,GR 1 - NORTE,"861,29","0,00","0,00","0,00","0,00","0,00","0,00","861,29","861,29","76.410,04","1,13"
RESEX do Médio Juruá,-,GR 1 - NORTE,"77,99","0,00","0,00","0,00","0,00","0,00","0,00","77,99","77,99","286.954,94","0,03"
RESEX do Rio do Cautário,Núcleo de Gestão Integrada - ICMBio Cautário-Guaporé,GR 1 - NORTE,"14.042,08","0,00","0,00","0,00","0,00","0,00","0,00","14.042,08","14.042,08","75.060,91","18,71"
RESEX do Rio Ouro Preto,Núcleo de Gestão Integrada - ICMBio Guajará-Mirim,GR 1 - NORTE,"6,93","0,00","0,00","0,00","0,00","0,00","0,00","6,93","6,93","204.630,53","0,00"
RESEX Ituxi,Núcleo de Gestão Integrada - ICMBio Lábrea,GR 1 - NORTE,"23,56","0,00","0,00","0,00","0,00","0,00","0,00","23,56","23,56","774.771,75","0,00"
RESEX Lago do Cedro,Núcleo de Gestão Integrada - ICMBio Meandros do Rio Araguaia,GR 3 - CENTRO-OESTE,"436,19","0,00","0,00","0,00","0,00","0,00","0,00","436,19","436,19","17.177,78","2,54"
RESEX Rio Xingu,Núcleo de Gestão Integrada - ICMBio Terra do Meio,GR 1 - NORTE,"29,38","0,00","0,00","0,00","0,00","0,00","0,00","29,38","29,38","302.941,16","0,01"
RESEX Tapajós-Arapiuns,-,GR 1 - NORTE,"68,94","0,00","0,00","0,00","0,00","0,00","0,00","68,94","68,94","677.317,50","0,01"
REVIS das Veredas do Oeste Baiano,Núcleo de Gestão Integrada - ICMBio Mambaí,GR 3 - CENTRO-OESTE,"17.845,34","3.328,52","24,70","0,00","0,00","0,00","3.353,22","17.845,34","21.198,56","128.049,79","16,55"
REVIS dos Campos de Palmas,Núcleo de Gestão Integrada - ICMBio Palmas,GR 5 - SUL,"516,59","0,00","0,00","0,00","0,00","0,00","0,00","516,59","516,59","16.594,17","3,11"
TOTAL,,,"1.435.335,36","174.392,83","59.387,30","515,11","4.341,46","43.961,85","278.257,09","1.439.676,82","1.717.933,91",,
